ID,X,Y,File
1,400,150,rssi_RS1
2,350,150,rssi_RS2
3,300,150,rssi_RS3
4,250,150,rssi_RS4
5,200,150,rssi_RS5
6,150,150,rssi_RS6
7,100,150,rssi_RS7
8,50,150,rssi_RS8
9,50,200,rssi_RS9
10,100,200,rssi_RS10
11,150,200,rssi_RS11
12,200,200,rssi_RS12
13,250,200,rssi_RS13
14,300,200,rssi_RS14
15,350,200,rssi_RS15
16,400,200,rssi_RS16
17,400,250,rssi_RS17
18,350,250,rssi_RS18
19,300,250,rssi_RS19
20,250,250,rssi_RS20
21,200,250,rssi_RS21
22,150,250,rssi_RS22
23,100,250,rssi_RS23
24,50,250,rssi_RS24
25,50,300,rssi_RS25
26,100,300,rssi_RS26
27,150,300,rssi_RS27
28,200,300,rssi_RS28
29,250,300,rssi_RS29
30,300,300,rssi_RS30
31,350,300,rssi_RS31
32,400,300,rssi_RS32
33,400,350,rssi_RS33
34,350,350,rssi_RS34
35,300,350,rssi_RS35
36,250,350,rssi_RS36
37,200,350,rssi_RS37
38,150,350,rssi_RS38
39,100,350,rssi_RS39
40,50,350,rssi_RS40
41,50,400,rssi_RS41
42,100,400,rssi_RS42
43,150,400,rssi_RS43
44,200,400,rssi_RS44
45,250,400,rssi_RS45
46,300,400,rssi_RS46
47,350,400,rssi_RS47
48,400,400,rssi_RS48
49,400,450,rssi_RS49
50,350,450,rssi_RS50
51,300,450,rssi_RS51
52,250,450,rssi_RS52
53,200,450,rssi_RS53
54,150,450,rssi_RS54
55,100,450,rssi_RS55
56,50,450,rssi_RS56
