RP_ID,X,Y,2C:CF:67:8C:3F:46,2C:CF:67:C8:DD:AB,2C:CF:67:C8:DD:D0,2C:CF:67:C8:DD:EA
1,400,150,-58.63636363636363,-57.15384615384615,-61.375,-67.26666666666667
2,350,150,-75.75,-56.76923076923077,-68.27777777777777,-61.733333333333334
3,300,150,-68.05882352941177,-65.70588235294117,-60.0,-57.357142857142854
4,250,150,-67.125,-58.0,-67.05882352941177,-63.35294117647059
5,200,150,-66.25,-58.05263157894737,-61.0,-63.21052631578947
6,150,150,-67.0,-59.5,-57.5,-59.92307692307692
7,100,150,-69.3125,-63.25,-65.88235294117646,-69.47058823529412
8,50,150,-65.05882352941177,-62.46666666666667,-65.28571428571429,-71.5
9,50,200,-65.5,-57.06666666666667,-67.33333333333333,-66.64285714285714
10,100,200,-57.94117647058823,-62.8,-63.06666666666667,-59.1875
11,150,200,-66.21428571428571,-57.22222222222222,-66.66666666666667,-56.26315789473684
12,200,200,-63.857142857142854,-61.9375,-69.16666666666667,-57.1578947368421
13,250,200,-61.588235294117645,-61.05555555555556,-59.5,-57.61538461538461
14,300,200,-62.083333333333336,-58.5,-61.611111111111114,-63.142857142857146
15,350,200,-64.26666666666667,-58.125,-57.0,-66.66666666666667
16,400,200,-61.53846153846154,-62.57142857142857,-66.11764705882354,-56.25
17,400,250,-68.5,-59.8125,-66.28571428571429,-61.72222222222222
18,350,250,-64.25,-56.266666666666666,-66.70588235294117,-60.25
19,300,250,-59.05555555555556,-65.76923076923077,-60.2,-59.6875
20,250,250,-61.31578947368421,-57.357142857142854,-64.66666666666667,-61.88235294117647
21,200,250,-59.38461538461539,-57.8,-61.285714285714285,-63.0
22,150,250,-67.66666666666667,-57.714285714285715,-65.18181818181819,-61.72222222222222
23,100,250,-64.5625,-49.92307692307692,-61.3125,-58.666666666666664
24,50,250,-66.53846153846153,-54.333333333333336,-56.64705882352941,-58.357142857142854
25,50,300,-59.6875,-53.733333333333334,-56.5625,-63.4
26,100,300,-63.13333333333333,-57.857142857142854,-63.25,-60.22222222222222
27,150,300,-62.357142857142854,-57.88235294117647,-60.2,-55.1875
28,200,300,-58.857142857142854,-68.375,-63.11764705882353,-57.785714285714285
29,250,300,-58.583333333333336,-56.23529411764706,-65.61111111111111,-57.53333333333333
30,300,300,-61.5,-61.285714285714285,-60.642857142857146,-57.857142857142854
31,350,300,-58.46666666666667,-56.857142857142854,-64.58823529411765,-60.333333333333336
32,400,300,-55.92307692307692,-58.916666666666664,-67.38461538461539,-62.69230769230769
33,400,350,-60.375,-63.6,-70.08333333333333,-57.411764705882355
34,350,350,-58.31578947368421,-55.9,-64.25,-60.666666666666664
35,300,350,-56.25,-62.0,-67.14285714285714,-61.25
36,250,350,-66.14285714285714,-65.81818181818181,-63.888888888888886,-54.27777777777778
37,200,350,-59.333333333333336,-60.785714285714285,-67.0909090909091,-57.11764705882353
38,150,350,-60.785714285714285,-60.07692307692308,-58.23529411764706,-55.714285714285715
39,100,350,-64.4,-53.857142857142854,-63.06666666666667,-59.38461538461539
40,50,350,-61.6,-54.46153846153846,-60.1,-60.75
41,50,400,-57.07142857142857,-56.714285714285715,-55.23076923076923,-62.0
42,100,400,-59.92307692307692,-51.72222222222222,-60.72727272727273,-62.333333333333336
43,150,400,-67.61111111111111,-63.95,-64.71428571428571,-65.75
44,200,400,-58.411764705882355,-57.07142857142857,-69.73333333333333,-56.705882352941174
45,250,400,-59.333333333333336,-60.93333333333333,-59.4375,-59.166666666666664
46,300,400,-54.07692307692308,-63.142857142857146,-60.75,-57.23076923076923
47,350,400,-59.875,-62.6,-64.0625,-56.357142857142854
48,400,400,-57.8125,-59.72222222222222,-70.91666666666667,-56.92857142857143
49,400,450,-67.0,-65.2,-67.0,-60.15384615384615
50,350,450,-61.8,-69.0625,-66.5,-59.888888888888886
51,300,450,-64.13333333333334,-66.46153846153847,-60.07692307692308,-64.15384615384616
52,250,450,-63.1875,-60.125,-65.05882352941177,-66.76923076923077
53,200,450,-60.333333333333336,-59.81818181818182,-62.125,-64.0
54,150,450,-57.84615384615385,-64.25,-68.53333333333333,-59.07692307692308
55,100,450,-69.15384615384616,-68.73333333333333,-66.16666666666667,-57.84615384615385
56,50,450,-60.0,-63.25,-65.84615384615384,-62.125
