k,method,mean_error,std_error,latency_ms,throughput
1,Raw,212.83982442949082,79.41254305187795,2.8671537126813615,348.7779520076028
1,Median,196.21621082374676,93.9181940914514,2.9275587626865933,341.58152954795327
1,Kalman,172.250667290736,81.1153969225089,3.3394949776785716,299.4464751958225
3,Raw,173.50813874386785,82.38857486432467,2.499818801879883,400.0289938006676
3,Median,159.00117196001924,81.18856946069786,3.212860652378627,311.24910420862926
3,Kalman,123.72385991002814,30.32461637493328,3.2737936292375838,305.4560284647156
1,Raw,179.51791778181382,57.52418170644605,3.491708210536412,286.39277388140505
1,Median,218.83737409055604,83.25642481261492,3.829700606209891,261.1170174447819
1,Kalman,150.18860769796103,44.90450426867265,3.2493535450526645,366.7126447223194
3,Raw,148.8425304506436,66.85688596795065,2.522928374154227,256.3647998271987
3,Median,157.21068407888086,83.92217155609744,3.429276602608817,291.6066902387668
3,Kalman,132.0418424144648,48.60190968224829,3.1814064298357283,314.32639056168466
1,Raw,184.47604795423607,87.03867294673815,2.602560179574149,384.2370323838689
1,Median,191.62954763685931,85.93753155423727,4.114525658743722,243.0413814226468
1,Kalman,185.2465638006253,69.21599134017889,5.028622491019113,198.86161703049964
3,Raw,167.5961654073109,67.79659165853089,2.689906529017857,371.76012965964344
3,Median,142.135795856803,65.74023766932689,3.2923732485089983,303.732269861221
3,Kalman,151.39056435362954,71.92084542472126,2.8711897986275807,348.2876682265995
